*
* Carte par défaut, contient des bordures
*

// FOURMILIERE //
170,130
// NOURRITURE //
880,550
// DEBUT OBSTACLE //
// NOUVEL OBSTACLE (vide) : bordure extérieure
80,80
200,40
350,30
500,40
650,55
810,50
945,80
975,180
970,300
955,410
975,535
945,610
810,650
650,670
500,670
350,640
200,650
80,610
55,535
70,410
65,300
50,180
// NOUVEL OBSTACLE : bloc1
400,205
360,290
380,340
450,368
520,348
540,280
500,225
460,195
// NOUVEL OBSTACLE : bloc2
700,460
730,440
735,450
742,490
760,535
760,565
670,600
550,620
500,565
530,533
600,510
680,500
// NOUVEL OBSTACLE : bloc 3
670,225
692,235
720,215
732,180
720,170
700,160
670,153
660,190
// NOUVEL OBSTACLE : bloc 4
200,410
232,430
240,410
250,358
220,338
190,380
// NOUVEL OBSTACLE : bloc 5
315,185
290,193
282,183
290,150
350,100
390,110
370,123
320,170
// NOUVEL OBSTACLE : bloc 6
350,535
380,553
420,535
430,480
400,460
370,470
// NOUVEL OBSTACLE : bloc 7
860,432
850,460
820,453
803,443
810,413
820,398
// FIN OBSTACLE //
